,origin_fips_code,origin_county_name,origin_state,origin_population,monthlydate,year,month,dest_fips_code,dest_county_name,dest_state,dest_loc_id,dest_loc_name,dest_loc_type,distance_origintodest,distance_type,dest_loc_numfacs,dest_asp,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
428904,48061,Cameron County (TX),TX,84793.0,750,2022,7,22017,Caddo Parish (LA),LA,43340,"Shreveport-Bossier City, LA",CBSA,604.44629,Travel (HERE API),1,5779161.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
428905,48061,Cameron County (TX),TX,84793.0,751,2022,8,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,831.18896,Travel (HERE API),3,488847.66,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
428906,48061,Cameron County (TX),TX,84793.0,752,2022,9,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,831.18896,Travel (HERE API),3,488847.66,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
428907,48061,Cameron County (TX),TX,84793.0,753,2022,10,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,831.18896,Travel (HERE API),3,572682.69,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
428908,48061,Cameron County (TX),TX,84793.0,754,2022,11,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,831.18896,Travel (HERE API),4,365921.25,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
428909,48061,Cameron County (TX),TX,84793.0,755,2022,12,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,831.18896,Travel (HERE API),4,365921.25,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429063,48061,Cameron County (TX),TX,84793.0,744,2022,1,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429064,48061,Cameron County (TX),TX,84793.0,745,2022,2,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429065,48061,Cameron County (TX),TX,84793.0,746,2022,3,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429066,48061,Cameron County (TX),TX,84793.0,747,2022,4,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429067,48061,Cameron County (TX),TX,84793.0,748,2022,5,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
429068,48061,Cameron County (TX),TX,84793.0,749,2022,6,48215,Hidalgo County (TX),TX,32580,"McAllen-Edinburg-Mission, TX",CBSA,50.832512,Travel (HERE API),1,365662.0,Cameron,Cameron,Cameron County,48061.0,TX,Texas,26.1333,-97.5182,420554.0
